"","M1_1_MSS","M1_2_MSS","M5_1_MSS","M5_2_MSS","T49_1_MSS","T49_2_MSS","M42_1_PD","M42_2_PD","M43_1_PD","M43_2_PD","M64_1_PD","M64_2_PD"
"1",24.29438489,44475.96381,0,6269.14095,1135.816869,21933.89963,0,0,772.9056302,2136.746203,1820.723776,1727.90983
"2",0,43138.90442,2102.056186,50355.05143,248.9275305,3239.160055,1315.904473,0,0,0,0,892.3564739
"3",3412.603318,172143.0403,77323.01892,307637.4289,98442.27728,192982.3696,24851.34409,16547.95036,5565.282098,0,3264.562572,5901.957686
"4",220431.1788,145656.8866,104287.8149,75887.3652,773377.4981,481165.5377,1027196.292,1163747.376,4080239.182,4885818.113,3093786.793,2759104.544
"5",18254.77813,8529.754751,35955.90078,44102.31611,57145.16817,34638.00992,21231.25588,49499.69621,666107.0448,379313.6153,255792.1172,579765.0018
"6",644513.3184,261938.0254,187023.4843,124867.7152,4487443.692,2572575.275,535809.1872,434645.8917,91361.87812,65997.91272,243250.4386,206632.6444
"7",686819.9955,331983.602,252694.3025,322889.5265,34886738.4,6651273.662,832708.6977,827703.4096,498518.852,118448.8384,151636.8015,121583.0401
"8",815185.8369,728701.4076,267179.3637,251301.6988,26259011.13,29240205.76,686115.4073,1776035.642,753784.8076,901784.6388,2063314.85,1653803.02
"9",1578.262851,9835.822062,2033.338669,2220.749817,541270.3124,781086.6694,816.6768629,0,6839.682286,2764.548095,57.40908358,7160.039705
"10",2814.761655,13247.29119,2120.955928,638.1610424,994154.345,2864331.364,1438.375257,37167.19568,2785.613488,17105.34841,979.5056688,4221.534845
"11",6044.580786,30973.87733,38365.2907,43994.34482,753849.4426,720885.5233,34.12579649,2124.8754,6940.725086,5031.957338,587.9359624,2744.34284
"12",5925.722731,16485.18719,5490.428024,5454.321437,860590.9419,1149233.572,6316.695561,6805.257816,1923.455707,3093.062743,7751.323284,3843.346744
"13",95988.82002,171256.2402,30311.25387,30264.84185,63838.29073,227563.6203,161.4557166,0,3383.507548,32707.3558,11573.14173,63814.53695
"14",7089.330976,3814.877561,1906.647434,1083.956571,34834.09565,17576.90956,25360.27301,18059.3309,15348.03561,8629.129542,93834.75797,73759.25216
"15",59729.23574,35866.65613,54688.19486,45310.93658,134641.4328,137978.1928,6548.123321,5864.527751,43026.95891,49237.2251,121392.0792,125124.9292
"16",385.6754455,3878.369812,350.6802696,831.4361846,0,0,0,0,4603.46693,38769.91973,2234.058672,71940.54273
"17",25263.83487,19547.71682,6976.855789,12543.54038,24515.90632,31696.44152,18150.73595,28909.51208,27835.85529,30334.31512,77551.68704,96774.23198
"18",18167.63623,10952.43781,5544.515632,5677.672278,19339.31976,24437.85682,107809.2807,186936.2148,120237.3385,109147.788,185745.9611,106353.2662
"19",8753.078023,44448.61643,1360.798277,188.2465952,0,2884.781068,0,0,1454.65892,39635.1617,1051.380778,7699.514778
"20",4804.571339,75205.44586,3031.090819,629.4888406,1388.435692,0,0,0,4934.165351,18020.37008,0,10338.99224
"21",5725.505138,2912.015945,5347.117701,5018.642629,60647.18362,34436.59993,125081.7038,75972.67913,215146.6928,163098.4398,300313.6585,319483.9534
"22",1680398.01,1202769.49,953192.0241,875298.5105,3306092.859,2221212.605,5438326.591,13446273.11,34431282.95,29441234.36,49485761.59,44764441.77
"23",3234.875244,29021.01463,30649.27647,37603.40918,6137.797429,19751.8711,10324.9688,3483.848603,136504.0774,474509.8838,64931.69021,547862.7177
"24",15911.7724,34838.01744,8723.549639,7826.855408,23805.29279,70506.47935,10204.41475,42170.42878,335861.8403,1070398.506,361265.2415,878196.7834
"25",14196.27621,49467.8664,35187.92694,31620.5192,8403.559515,9769.817924,3888.097034,3097.745337,108898.5376,331878.6586,12961.9588,90713.29786
